,City,Lat,Lng,temp,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
272,alindao,5.03,21.21,69.87,97,CF,1592438685,94,69.87,2.73
273,ornskoldsvik,63.29,18.72,53.6,58,SE,1592438685,93,53.6,4.7
274,vryburg,-26.96,24.73,38.32,1,ZA,1592438685,89,38.32,2.8
275,pokhara,28.23,83.98,72.99,100,NP,1592438583,85,72.99,0.49
276,nyborg,55.31,10.79,62.01,96,DK,1592438501,97,62.01,5.28
277,jining,35.41,116.58,66.33,100,CN,1592438428,84,66.33,9.15
278,lavrentiya,65.58,-171.0,50.81,43,RU,1592438552,63,50.81,5.32
279,baykit,61.67,96.37,59.61,94,RU,1592438686,52,59.61,4.03
280,cairns,-16.92,145.77,75.99,75,AU,1592438686,83,75.99,12.75
281,ascension,30.22,-90.9,90.0,1,US,1592438411,30,90.0,1.28
282,wamba,8.93,8.6,73.53,98,NG,1592438686,92,73.53,2.39
283,davila,18.47,120.58,82.4,20,PH,1592438686,83,82.4,4.7
284,matara,5.95,80.54,79.2,81,LK,1592438687,90,79.2,7.47
285,puerto baquerizo moreno,-0.9,-89.6,69.31,46,EC,1592438687,85,69.31,10.45
286,kieta,-6.22,155.63,86.41,100,PG,1592438687,59,86.41,0.87
287,quelimane,-17.88,36.89,66.2,75,MZ,1592438687,93,66.2,8.05
288,ende,-8.84,121.66,78.89,97,ID,1592438687,71,78.89,5.35
289,muncar,-8.43,114.33,78.03,16,ID,1592438687,88,78.03,5.06
290,usvyaty,55.75,30.75,61.52,34,RU,1592438687,89,61.52,3.91
291,isangel,-19.55,169.27,80.6,40,VU,1592438530,69,80.6,9.17
292,longyearbyen,78.22,15.64,37.4,40,SJ,1592438415,76,37.4,10.29
293,sinnamary,5.38,-52.95,79.07,95,GF,1592438688,84,79.07,5.48
294,excelsior springs,39.34,-94.23,84.2,40,US,1592438688,48,84.2,10.29
295,okha,53.57,142.95,39.65,100,RU,1592438688,95,39.65,10.67
296,marsa matruh,31.35,27.25,69.8,0,EG,1592438688,77,69.8,9.17
297,monrovia,6.3,-10.8,71.6,75,LR,1592438467,94,71.6,9.17
298,pacific grove,36.62,-121.92,75.2,1,US,1592438533,40,75.2,9.17
299,alakurtti,66.97,30.35,52.34,0,RU,1592438689,65,52.34,2.48
300,tiksi,71.69,128.87,54.5,100,RU,1592438689,60,54.5,6.78
301,algete,40.6,-3.5,66.2,49,ES,1592438689,52,66.2,4.7
302,kiruna,67.86,20.23,57.2,61,SE,1592438689,47,57.2,2.93
303,wuwei,37.93,102.64,69.01,0,CN,1592438690,41,69.01,1.99
304,farafangana,-22.82,47.83,66.58,73,MG,1592438690,74,66.58,6.04
305,ningyang,35.76,116.79,65.86,100,CN,1592438690,84,65.86,7.45
306,modasa,23.47,73.3,83.62,85,IN,1592438690,74,83.62,14.05
307,gambiran,-6.8,111.5,76.57,30,ID,1592438690,84,76.57,3.91
308,fort-shevchenko,44.51,50.26,79.83,83,KZ,1592438690,29,79.83,12.75
309,cayenne,4.93,-52.33,77.0,97,GF,1592438690,100,77.0,5.35
310,ponte nova,-20.42,-42.91,60.08,22,BR,1592438691,87,60.08,0.98
311,beira,-19.84,34.84,66.2,75,MZ,1592438691,88,66.2,11.41
312,padilla,3.22,-76.31,77.0,75,CO,1592438691,73,77.0,9.17
313,watertown,42.37,-71.18,79.0,20,US,1592438590,56,79.0,8.05
314,tiznit,29.58,-9.5,65.8,15,MA,1592438691,56,65.8,2.82
315,luanda,-8.84,13.23,71.6,75,AO,1592438481,94,71.6,2.24
316,bhadrachalam,17.67,80.88,80.22,100,IN,1592438691,81,80.22,4.54
317,gizo,-8.1,156.84,83.62,95,SB,1592438691,77,83.62,10.4
318,hasaki,35.73,140.83,73.99,75,JP,1592438692,78,73.99,6.93
319,yerofey pavlovich,53.97,121.97,60.12,96,RU,1592438692,51,60.12,7.58
320,bilma,18.69,12.92,84.56,9,NE,1592438692,14,84.56,3.62
321,shingu,33.73,135.98,71.6,75,JP,1592438692,68,71.6,8.05
322,hofn,64.25,-15.21,48.15,5,IS,1592438571,68,48.15,8.55
323,namatanai,-3.67,152.43,83.43,60,PG,1592438692,73,83.43,9.66
324,lagoa,39.05,-27.98,63.0,85,PT,1592438534,80,63.0,8.55
325,la espigadilla,7.88,-80.38,80.64,57,PA,1592438692,84,80.64,1.61
326,alenquer,-1.94,-54.74,79.48,79,BR,1592438693,78,79.48,2.33
327,young,-32.68,-57.63,70.81,100,UY,1592438465,75,70.81,15.08
328,santa rosa,14.31,121.11,89.01,20,PH,1592438473,66,89.01,2.24
329,sibenik,43.73,15.91,68.0,9,HR,1592438693,82,68.0,3.36
330,oyama,36.3,139.8,69.8,75,JP,1592438693,73,69.8,2.24
331,vila velha,-20.33,-40.29,70.0,75,BR,1592438693,83,70.0,3.36
332,tirumullaivasal,11.23,79.83,83.89,96,IN,1592438693,66,83.89,8.08
333,qiongshan,20.01,110.35,80.6,0,CN,1592438693,88,80.6,6.71
334,pasighat,28.07,95.33,76.32,100,IN,1592438694,88,76.32,0.87
335,byron bay,-28.65,153.62,61.0,75,AU,1592438694,93,61.0,6.93
336,akyab,20.15,92.9,82.49,100,MM,1592438694,82,82.49,9.08
337,dir,35.21,71.88,67.78,0,PK,1592438694,27,67.78,7.83
338,caravelas,-17.71,-39.25,71.49,32,BR,1592438552,78,71.49,8.32
339,curup,-3.47,102.53,68.81,88,ID,1592438694,90,68.81,3.38
340,moron,-34.65,-58.62,75.2,90,AR,1592438694,60,75.2,12.75
341,caraballeda,10.61,-66.85,73.0,22,VE,1592438695,84,73.0,8.03
342,haputale,6.77,80.96,62.29,80,LK,1592438695,91,62.29,4.76
343,mayo,38.89,-76.51,69.8,90,US,1592438695,88,69.8,9.17
344,moose factory,51.26,-80.61,91.4,1,CA,1592438695,33,91.4,19.46
345,victoria point,-27.58,153.3,70.0,2,AU,1592438695,71,70.0,13.15
346,marzuq,14.4,46.47,83.97,68,YE,1592438695,23,83.97,4.14
347,corner brook,48.97,-57.95,60.8,90,CA,1592438696,67,60.8,5.82
348,kidal,18.44,1.41,94.73,18,ML,1592438696,13,94.73,10.76
349,chulucanas,-5.09,-80.16,73.27,1,PE,1592438696,59,73.27,10.38
350,santa catalina,9.33,122.86,83.35,100,PH,1592438696,72,83.35,0.09
351,coquimbo,-29.95,-71.34,55.4,15,CL,1592438696,76,55.4,8.05
352,porbandar,21.64,69.61,84.36,86,IN,1592438696,82,84.36,12.84
353,castrillon,43.4,-6.79,57.2,90,ES,1592438696,82,57.2,3.36
354,smidovich,48.6,133.82,56.89,86,RU,1592438697,74,56.89,9.28
355,sao raimundo nonato,-9.02,-42.7,78.94,62,BR,1592438484,50,78.94,8.81
356,bandarbeyla,9.49,50.81,82.0,87,SO,1592438697,65,82.0,31.27
357,mudanjiang,44.58,129.6,65.95,49,CN,1592438697,56,65.95,9.71
358,shaoyang,27.23,111.45,79.74,100,CN,1592438697,81,79.74,2.3
359,laurens,32.45,-82.92,75.99,75,US,1592438697,60,75.99,5.82
360,shache,38.42,77.24,69.85,3,CN,1592438698,31,69.85,7.67
361,henties bay,-22.12,14.28,73.0,0,NA,1592438698,29,73.0,1.01
362,havre-saint-pierre,50.23,-63.6,60.8,75,CA,1592438698,67,60.8,12.75
363,lata,40.16,-8.33,61.0,2,PT,1592438699,87,61.0,5.99
364,saint anthony,45.02,-93.22,87.8,20,US,1592438544,33,87.8,17.22
365,ampanihy,-24.7,44.75,58.17,0,MG,1592438699,78,58.17,8.52
366,wanning,18.8,110.4,83.53,0,CN,1592438699,79,83.53,12.21
367,meridian,43.61,-116.39,69.01,75,US,1592438441,40,69.01,12.75
368,bereda,43.27,-7.54,48.99,48,ES,1592438699,98,48.99,3.0
369,loandjili,-4.76,11.86,75.2,90,CG,1592438700,94,75.2,2.24
370,manavalakurichi,8.13,77.3,80.6,40,IN,1592438700,88,80.6,2.24
371,mount isa,-20.73,139.5,71.6,0,AU,1592438417,46,71.6,10.29
372,asfi,32.3,-9.24,68.45,66,MA,1592438700,80,68.45,10.85
373,teacapan,22.55,-105.75,84.4,0,MX,1592438700,55,84.4,6.53
374,tonala,20.62,-103.23,89.6,40,MX,1592438513,25,89.6,12.75
375,tateyama,34.98,139.87,75.99,75,JP,1592438700,83,75.99,8.05
376,chudovo,59.12,31.68,64.35,10,RU,1592438701,96,64.35,4.03
377,cap malheureux,-19.98,57.61,68.0,50,MU,1592438701,89,68.0,7.0
378,viramgam,23.12,72.05,82.4,40,IN,1592438701,88,82.4,6.93
379,ylojarvi,61.56,23.6,59.0,20,FI,1592438701,87,59.0,1.12
380,narsaq,60.92,-46.05,42.8,99,GL,1592438701,76,42.8,11.41
381,clyde river,70.47,-68.59,33.8,90,CA,1592438701,85,33.8,3.36
382,palora,-1.7,-77.93,73.4,40,EC,1592438702,83,73.4,2.24
383,aksu,41.12,80.26,74.12,89,CN,1592438550,30,74.12,2.44
384,boende,-0.22,20.87,70.59,76,CD,1592438702,64,70.59,1.86
385,willowmore,-33.29,23.49,44.31,0,ZA,1592438702,59,44.31,4.54
386,mill valley,37.91,-122.55,75.99,0,US,1592438450,30,75.99,15.01
387,xining,36.62,101.77,57.43,6,CN,1592438702,54,57.43,1.79
388,nago,26.59,127.98,86.0,40,JP,1592438703,83,86.0,16.11
389,russkiy aktash,55.04,52.12,55.4,20,RU,1592438703,76,55.4,11.18
390,chengde,40.97,117.94,73.47,98,CN,1592438703,53,73.47,3.94
391,zarubino,42.63,131.09,58.53,97,RU,1592438703,90,58.53,10.33
392,husavik,66.04,-17.34,48.2,41,IS,1592438550,87,48.2,1.12
393,rostovka,55.38,71.89,51.4,77,RU,1592438704,93,51.4,12.53
394,uchiza,-8.46,-76.46,73.85,20,PE,1592438704,78,73.85,2.26
395,eureka,40.8,-124.16,72.0,0,US,1592438467,75,72.0,10.0
396,sur,22.57,59.53,87.62,55,OM,1592438704,59,87.62,6.55
397,qaanaaq,77.48,-69.36,32.16,19,GL,1592438705,94,32.16,2.33
398,stykkisholmur,65.08,-22.73,48.99,100,IS,1592438705,70,48.99,6.38
399,vostok,46.49,135.88,48.45,100,RU,1592438705,100,48.45,1.74
400,yar-sale,66.83,70.83,38.97,14,RU,1592438705,73,38.97,12.26
401,komsomolets,53.75,62.07,56.43,64,KZ,1592438705,89,56.43,10.94
402,omboue,-1.57,9.26,71.85,100,GA,1592438706,93,71.85,4.9
403,eidsvag,62.78,8.07,60.8,85,NO,1592438706,87,60.8,2.24
404,high level,58.52,-117.14,60.8,75,CA,1592438706,67,60.8,9.17
405,northam,51.03,-4.22,55.99,100,GB,1592438707,98,55.99,1.01
406,bethel,41.37,-73.41,73.4,1,US,1592438707,64,73.4,9.17
407,ternate,0.8,127.4,83.14,53,ID,1592438707,73,83.14,5.14
408,matagami,49.75,-77.63,89.6,1,CA,1592438707,33,89.6,13.87
409,babushkin,51.71,105.86,58.06,60,RU,1592438707,55,58.06,3.04
410,la fria,8.22,-72.24,87.8,20,VE,1592438707,55,87.8,9.17
411,simoes,-7.6,-40.82,73.15,6,BR,1592438708,65,73.15,13.02
412,seymchan,62.88,152.43,73.76,45,RU,1592438708,39,73.76,7.45
413,ulaangom,49.98,92.07,69.98,96,MN,1592438708,39,69.98,1.7
414,kalemie,-5.95,29.19,68.16,0,CD,1592438708,69,68.16,1.25
415,athabasca,54.72,-113.29,63.93,76,CA,1592438708,62,63.93,7.94
416,itauna,-20.08,-44.58,57.42,41,BR,1592438445,87,57.42,5.17
417,hami,42.8,93.45,86.45,82,CN,1592438708,13,86.45,1.92
418,kununurra,-15.77,128.73,75.2,0,AU,1592438534,42,75.2,13.87
419,wairoa,-39.03,177.37,63.0,99,NZ,1592438709,63,63.0,1.99
420,oussouye,12.48,-16.55,79.43,20,SN,1592438709,81,79.43,11.45
421,barkly west,-28.54,24.52,42.8,0,ZA,1592438709,87,42.8,6.93
422,north ogden,41.31,-111.96,63.0,40,US,1592438709,29,63.0,8.05
423,heihe,50.24,127.49,55.4,20,CN,1592438709,93,55.4,4.47
424,plettenberg bay,-34.05,23.37,61.03,0,ZA,1592438710,44,61.03,7.49
425,ikalamavony,-21.15,46.58,53.01,16,MG,1592438710,76,53.01,10.4
426,novyy urgal,51.07,132.56,59.0,41,RU,1592438710,48,59.0,3.0
427,limbang,4.75,115.0,80.6,75,MY,1592438710,88,80.6,2.24
428,rudbar,30.15,62.6,81.97,0,AF,1592438610,16,81.97,10.31
429,maldonado,-34.67,-54.92,69.01,90,UY,1592438572,72,69.01,17.22
430,price,39.6,-110.81,69.8,1,US,1592438711,15,69.8,21.92
431,shamary,57.34,58.22,40.91,0,RU,1592438711,70,40.91,4.34
432,ichinoseki,38.92,141.13,66.2,40,JP,1592438711,77,66.2,1.12
433,mareeba,-17.0,145.43,75.99,99,AU,1592438711,81,75.99,5.99
434,forestville,38.85,-76.88,69.01,90,US,1592438711,100,69.01,12.75
435,sovetskiy,61.36,63.58,43.43,33,RU,1592438711,73,43.43,8.63
436,kamen-rybolov,44.75,132.04,55.74,79,RU,1592438711,86,55.74,9.57
437,san cristobal,7.77,-72.22,87.8,20,VE,1592438530,55,87.8,9.17
438,san miguel,13.48,-88.18,89.6,20,SV,1592438571,66,89.6,2.24
439,bria,6.54,21.99,68.38,100,CF,1592438712,96,68.38,2.44
440,mandalgovi,45.76,106.27,64.13,32,MN,1592438712,59,64.13,9.53
441,fukue,32.69,128.84,71.6,75,JP,1592438712,100,71.6,16.67
442,along,28.17,94.77,73.96,100,IN,1592438712,90,73.96,0.54
443,natal,-5.79,-35.21,75.2,12,BR,1592438561,83,75.2,8.05
444,san gabriel casa blanca,18.15,-97.13,81.48,11,MX,1592438713,52,81.48,9.13
445,noumea,-22.28,166.46,77.0,75,NC,1592438431,65,77.0,3.36
446,kaohsiung,22.62,120.31,87.8,75,TW,1592438424,66,87.8,2.24
447,hualmay,-11.1,-77.61,62.49,18,PE,1592438713,83,62.49,12.03
448,najran,17.49,44.13,82.4,40,SA,1592438713,18,82.4,4.7
449,begunitsy,59.59,29.32,62.6,23,RU,1592438713,88,62.6,6.71
450,bogotol,56.21,89.53,55.33,1,RU,1592438713,81,55.33,9.53
451,algiers,36.75,3.04,68.0,40,DZ,1592438444,82,68.0,5.1
452,kodinsk,58.69,99.18,58.42,58,RU,1592438714,49,58.42,3.53
453,biryusinsk,55.96,97.82,56.37,0,RU,1592438714,62,56.37,12.21
454,mexico,15.06,120.72,80.6,75,PH,1592438714,78,80.6,2.24
455,bambari,5.77,20.68,69.89,96,CF,1592438714,92,69.89,1.21
456,miro khan,27.76,68.09,97.12,0,PK,1592438714,30,97.12,18.16
457,skopin,53.82,39.55,60.01,28,RU,1592438714,89,60.01,1.66
458,nabire,-3.37,135.48,84.11,52,ID,1592438715,67,84.11,0.74
459,norman wells,65.28,-126.83,86.0,40,CA,1592438649,30,86.0,14.99
460,nantucket,41.28,-70.1,60.8,20,US,1592438715,82,60.8,10.29
461,potsdam,52.4,13.07,72.0,64,DE,1592438715,65,72.0,5.59
462,mitu,1.2,-70.17,73.4,75,CO,1592438715,97,73.4,1.16
463,belaya gora,68.53,146.42,87.67,0,RU,1592438715,20,87.67,9.01
464,gat,31.61,34.76,75.99,0,IL,1592438716,44,75.99,8.95
465,hobyo,5.35,48.53,79.45,100,SO,1592438716,71,79.45,24.02
466,ilam,26.92,87.92,67.53,92,NP,1592438716,95,67.53,2.93
467,necochea,-38.55,-58.74,63.0,100,AR,1592438716,99,63.0,8.9
468,rawson,-43.3,-65.1,52.9,99,AR,1592438716,49,52.9,9.33
469,beringovskiy,63.05,179.32,52.18,4,RU,1592438716,55,52.18,5.48
470,dingle,11.0,122.67,83.7,100,PH,1592438545,72,83.7,4.18
471,linxia,35.6,103.21,62.02,29,CN,1592438717,49,62.02,2.77
472,launceston,-41.45,147.17,44.01,90,AU,1592438717,93,44.01,3.31
473,tarata,-17.62,-66.02,68.0,21,BO,1592438717,24,68.0,4.7
474,tiarei,-17.53,-149.33,82.4,75,PF,1592438717,74,82.4,8.05
475,bonavista,48.65,-53.11,54.27,100,CA,1592438546,63,54.27,18.14
476,luena,-11.78,19.92,50.97,0,AO,1592438717,62,50.97,6.67
477,longkou,37.65,120.33,68.27,100,CN,1592438718,84,68.27,6.67
478,ust-omchug,61.15,149.63,66.42,66,RU,1592438497,44,66.42,0.98
479,shu,43.6,73.76,56.16,13,KZ,1592438718,66,56.16,5.55
480,juybar,36.64,52.91,73.4,11,IR,1592438718,73,73.4,2.24
481,bela vista do paraiso,-23.0,-51.19,71.6,13,BR,1592438718,68,71.6,2.24
482,vallenar,-28.57,-70.76,55.49,22,CL,1592438718,58,55.49,3.74
483,goedereede,51.82,3.98,61.0,100,NL,1592438718,95,61.0,1.01
484,iquitos,-3.75,-73.25,82.4,20,PE,1592438524,78,82.4,1.12
485,wagar,16.15,36.2,91.9,22,SD,1592438719,30,91.9,9.37
486,vanimo,-2.67,141.3,83.37,7,PG,1592438719,71,83.37,5.39
487,umm lajj,25.02,37.27,80.04,0,SA,1592438719,55,80.04,1.83
488,nalut,30.33,10.85,80.17,0,LY,1592438719,16,80.17,10.83
489,mayumba,-3.43,10.66,72.0,55,GA,1592438719,91,72.0,2.01
490,sao mateus,-18.72,-39.86,66.52,12,BR,1592438604,89,66.52,5.19
491,syracuse,37.09,15.28,66.99,0,IT,1592438569,88,66.99,4.7
492,raalte,52.39,6.28,63.0,100,NL,1592438719,96,63.0,3.0
493,san patricio,19.22,-104.7,84.2,40,MX,1592438720,74,84.2,11.41
494,saint-francois,46.42,3.91,57.2,75,FR,1592438720,76,57.2,2.24
495,satao,40.74,-7.73,51.01,1,PT,1592438720,1,51.01,1.99
496,lasa,46.62,10.7,46.4,75,IT,1592438720,87,46.4,5.82
497,voh,-20.97,164.7,78.12,76,NC,1592438720,59,78.12,7.96
498,sabha,27.04,14.43,75.96,0,LY,1592438721,18,75.96,11.25
499,valguarnera caropepe,37.5,14.39,66.99,0,IT,1592438721,68,66.99,4.16
500,cockburn town,21.46,-71.14,82.4,40,TC,1592438721,69,82.4,11.41
501,jaque,7.52,-78.17,79.86,98,PA,1592438721,80,79.86,1.5
502,borogontsy,62.67,131.17,76.55,0,RU,1592438721,31,76.55,4.81
503,sola,-13.88,167.55,80.46,97,VU,1592438721,82,80.46,23.6
504,baturaja,-4.13,104.17,73.69,81,ID,1592438721,92,73.69,2.46
505,kompaniyivka,48.25,32.21,63.09,38,UA,1592438722,91,63.09,3.65
506,umred,20.85,79.33,78.8,75,IN,1592438722,88,78.8,5.82
507,korla,41.76,86.15,80.01,4,CN,1592438722,42,80.01,3.0
508,linqu,36.52,118.54,63.99,100,CN,1592438722,85,63.99,4.52
509,bani,18.28,-70.33,84.0,99,DO,1592438722,79,84.0,3.0
510,alta,69.97,23.27,53.01,0,NO,1592438456,71,53.01,1.12
511,guarapari,-20.67,-40.5,70.0,75,BR,1592438529,83,70.0,3.36
512,dudinka,69.41,86.18,41.0,39,RU,1592438723,65,41.0,4.47
513,avera,33.19,-82.53,73.4,90,US,1592438723,60,73.4,3.53
514,muroran,42.32,140.99,62.6,75,JP,1592438723,82,62.6,3.36
515,ozernovskiy,51.5,156.52,45.14,100,RU,1592438723,86,45.14,4.07
516,noshiro,40.2,140.02,62.6,40,JP,1592438723,88,62.6,2.24
517,denpasar,-8.65,115.22,82.4,75,ID,1592438678,94,82.4,17.22
518,gualaquiza,-3.4,-78.55,64.87,14,EC,1592438724,90,64.87,1.23
519,martapura,-3.42,114.85,79.97,74,ID,1592438724,81,79.97,5.75
520,nchelenge,-9.35,28.73,61.21,0,ZM,1592438724,64,61.21,4.81
521,seydi,39.48,62.91,72.09,0,TM,1592438724,22,72.09,9.08
522,mokobeng,-23.0,27.67,43.23,0,BW,1592438724,89,43.23,0.89
523,leo,11.1,-2.1,79.95,9,BF,1592438724,74,79.95,6.51
524,sakaiminato,35.55,133.23,69.8,90,JP,1592438724,88,69.8,5.82
525,iida,35.52,137.82,68.0,100,JP,1592438725,92,68.0,2.84
526,antalaha,-14.9,50.28,68.58,28,MG,1592438725,78,68.58,11.36
527,bluefields,12.01,-83.76,82.4,75,NI,1592438725,83,82.4,6.29
528,idenao,4.25,9.0,75.2,40,CM,1592438725,88,75.2,2.24
529,yatou,37.15,122.38,67.77,100,CN,1592438725,76,67.77,5.19
530,kysyl-syr,63.9,122.76,72.28,73,RU,1592438725,55,72.28,4.32
531,brae,60.4,-1.35,53.6,51,GB,1592438580,93,53.6,0.25
532,tangermunde,52.54,11.98,66.99,96,DE,1592438725,65,66.99,1.99
533,san rafael del sur,11.85,-86.44,86.0,40,NI,1592438726,62,86.0,4.7
534,puerto madryn,-42.77,-65.04,53.15,97,AR,1592438726,50,53.15,9.86
535,vitim,59.45,112.56,63.5,68,RU,1592438726,61,63.5,1.41
536,paso de carrasco,-34.86,-56.05,72.0,99,UY,1592438570,68,72.0,12.75
537,russell,32.35,-85.2,78.8,90,US,1592438726,54,78.8,4.7
538,bud,39.45,-86.18,81.0,1,US,1592438726,39,81.0,4.7
539,ayan,56.45,138.17,42.67,98,RU,1592438726,96,42.67,4.83
540,usinsk,65.99,57.53,38.5,74,RU,1592438727,75,38.5,16.55
541,kalmar,56.66,16.36,52.0,4,SE,1592438727,100,52.0,2.24
542,karpathos,35.51,27.21,70.77,1,GR,1592438727,83,70.77,12.1
543,roebourne,-20.78,117.13,72.48,0,AU,1592438727,47,72.48,5.37
544,santa fe,-31.63,-60.7,75.0,100,AR,1592438727,67,75.0,8.01
545,san jose,37.34,-121.89,87.01,1,US,1592438464,16,87.01,16.11
546,khani,41.96,42.96,66.2,90,GE,1592438727,100,66.2,4.7
